index,singlish,english
497,This task very critical.,This task is very critical.
498,Can you help me with the follow-up?,Can you help me with the follow-up?
499,I need to review the details.,I need to review the details.
500,This project very time-sensitive.,This project is very time-sensitive.
601,"Wah, this book damn shiok to read.","Wow, this book is really enjoyable to read."
602,"Eh, you got read the new novel or not?","Hey, have you read the new novel?"
603,I borrow this book from library yesterday.,I borrowed this book from the library yesterday.
604,This author very famous leh.,This author is very famous.
605,I read until chapter ten already.,I've read up to chapter ten already.
606,You know where can buy cheap books?,Do you know where to buy cheap books?
607,"This story very touching, make me cry.","This story is very touching, it made me cry."
608,I prefer reading fiction more than non-fiction.,I prefer reading fiction over non-fiction.
609,Can lend me your book after you finish?,Can you lend me your book after you finish?
610,"I always read before sleep, very relaxing.","I always read before sleeping, it's very relaxing."
611,This bookshop got a lot of variety.,This bookstore has a lot of variety.
612,I read this book so many times liao.,I've read this book so many times already.
613,Reading is my favourite hobby.,Reading is my favorite hobby.
614,"I need to buy new bookshelf, no space liao.","I need to buy a new bookshelf, there's no more space."
615,"This book very chim, I don't understand.","This book is very complex, I don't understand."
616,"I like to read at the cafe, very peaceful.","I like to read at the cafe, it's very peaceful."
617,You got any book recommendations?,Do you have any book recommendations?
618,"I finish this book in one day, too exciting.","I finished this book in one day, it was too exciting."
619,"This book got movie adaptation, you watch already?","This book has a movie adaptation, have you watched it?"
620,I like to read mystery novels.,I like to read mystery novels.
621,I always bring a book when I travel.,I always bring a book when I travel.
622,"This book very funny, I laugh until stomach pain.","This book is very funny, I laughed until my stomach hurt."
623,I read this book for school project.,I read this book for a school project.
624,"I like to read in the park, got fresh air.","I like to read in the park, there's fresh air."
625,"This book very popular now, everyone reading.","This book is very popular now, everyone is reading it."
626,I read e-books on my tablet.,I read e-books on my tablet.
627,I need to return this book to the library soon.,I need to return this book to the library soon.
628,"I like to read biographies, very inspiring.","I like to read biographies, they are very inspiring."
629,This book got a lot of plot twists.,This book has a lot of plot twists.
630,I read this book when I was young.,I read this book when I was young.
631,I always read during my lunch break.,I always read during my lunch break.
632,"This book very thick, take long time to finish.","This book is very thick, it takes a long time to finish."
633,I like to read with a cup of tea.,I like to read with a cup of tea.
634,"This book very educational, I learn a lot.","This book is very educational, I learned a lot."
635,I read this book for my literature class.,I read this book for my literature class.
636,"I like to read in the morning, very quiet.","I like to read in the morning, it's very quiet."
637,"This book very famous, you should read.","This book is very famous, you should read it."
638,"I read this book online, very convenient.","I read this book online, it's very convenient."
639,I like to read fantasy novels.,I like to read fantasy novels.
640,"This book very old, but still good.","This book is very old, but still good."
641,I read this book in one sitting.,I read this book in one sitting.
642,I like to read with background music.,I like to read with background music.
643,"This book very detailed, a lot of information.","This book is very detailed, it has a lot of information."
644,I read this book for my exam.,I read this book for my exam.
645,"I like to read in the library, very quiet.","I like to read in the library, it's very quiet."
646,"This book very interesting, I cannot put down.","This book is very interesting, I can't put it down."
647,I read this book with my friends.,I read this book with my friends.
648,I like to read historical novels.,I like to read historical novels.
649,"This book very famous, got many awards.","This book is very famous, it has won many awards."
650,I read this book during my holiday.,I read this book during my holiday.
651,"I like to read in the evening, very relaxing.","I like to read in the evening, it's very relaxing."
652,"This book very funny, I laugh a lot.","This book is very funny, I laughed a lot."
653,I read this book for my assignment.,I read this book for my assignment.
654,"I like to read in the garden, very peaceful.","I like to read in the garden, it's very peaceful."
655,"This book very popular, everyone talking about it.","This book is very popular, everyone is talking about it."
656,I read this book on my phone.,I read this book on my phone.
657,I like to read romance novels.,I like to read romance novels.
658,"This book very old, but still interesting.","This book is very old, but still interesting."
659,I read this book in one day.,I read this book in one day.
660,I like to read with a cup of coffee.,I like to read with a cup of coffee.
661,"This book very informative, I learn a lot.","This book is very informative, I learned a lot."
662,I read this book for my research.,I read this book for my research.
663,"I like to read in the afternoon, very relaxing.","I like to read in the afternoon, it's very relaxing."
664,"This book very famous, you must read.","This book is very famous, you must read it."
665,"I read this book online, very easy.","I read this book online, it's very easy."
